Algorithm,N,Steps,Time
Backtracking,15,20280,0.02994394302368164
Backtracking,15,20280,0.040622711181640625
Backtracking,15,20280,0.04062843322753906
Backtracking,15,20280,0.02991461753845215
Backtracking,15,20280,0.03055405616760254
Backtracking,15,20280,0.030858755111694336
Backtracking,15,20280,0.030655622482299805
Backtracking,15,20280,0.031188488006591797
Backtracking,15,20280,0.030368804931640625
Backtracking,15,20280,0.031212806701660156
Backtracking,15,20280,0.03022027015686035
Backtracking,15,20280,0.026958227157592773
Backtracking,15,20280,0.02377605438232422
Backtracking,15,20280,0.01670527458190918
Forward Checking,15,34,0.00842905044555664
Forward Checking,15,34,0.008530139923095703
Forward Checking,15,34,0.00847768783569336
Forward Checking,15,34,0.008500814437866211
Forward Checking,15,34,0.008472442626953125
Forward Checking,15,34,0.008492231369018555
Forward Checking,15,34,0.008432626724243164
Forward Checking,15,34,0.008469581604003906
Forward Checking,15,34,0.007722616195678711
Forward Checking,15,34,0.008009910583496094
Forward Checking,15,34,0.007965803146362305
Forward Checking,15,34,0.007791280746459961
Forward Checking,15,34,0.00794529914855957
Forward Checking,15,34,0.007964372634887695
Forward Checking,15,34,0.008011341094970703
Forward Checking,15,34,0.007975339889526367
Forward Checking,15,34,0.007716178894042969
Forward Checking,15,34,0.0077512264251708984
Forward Checking,15,34,0.007936477661132812
Forward Checking,15,34,0.007915973663330078
Forward Checking,15,34,0.00791478157043457
Forward Checking,15,34,0.007941484451293945
Forward Checking,15,34,0.007978439331054688
Forward Checking,15,34,0.008134841918945312
Forward Checking,15,34,0.007573366165161133
Forward Checking,15,34,0.007406949996948242
Forward Checking,15,34,0.005444765090942383
Forward Checking,15,34,0.0038607120513916016
Forward Checking,15,34,0.0077056884765625
Forward Checking,15,34,0.0076634883880615234
Backtracking,20,3992510,7.530515909194946
Backtracking,20,3992510,7.635391473770142
Backtracking,20,3992510,7.573590040206909
Backtracking,20,3992510,7.545094728469849
Backtracking,20,3992510,7.497587203979492
Backtracking,20,3992510,7.533014535903931
Backtracking,20,3992510,7.5152363777160645
Backtracking,20,3992510,7.585806131362915
Backtracking,20,3992510,7.933573484420776
Backtracking,20,3992510,7.917686462402344
Backtracking,20,3992510,8.040029048919678
Backtracking,20,3992510,7.954551696777344
Backtracking,20,3992510,7.968336582183838
Backtracking,20,3992510,8.035810947418213
Backtracking,20,3992510,7.977591514587402
Backtracking,20,3992510,8.018638610839844
Backtracking,20,3992510,10.581367254257202
Backtracking,20,3992510,10.577677488327026
Backtracking,20,3992510,10.604174852371216
Backtracking,20,3992510,10.610759258270264
Backtracking,20,3992510,10.612552642822266
Backtracking,20,3992510,10.700479984283447
Backtracking,20,3992510,10.680163860321045
Backtracking,20,3992510,10.597172498703003
Backtracking,20,3992510,8.087214231491089
Backtracking,20,3992510,5.095472097396851
Backtracking,20,3992510,7.219851016998291
Backtracking,20,3992510,7.388551235198975
Backtracking,20,3992510,8.001868724822998
Backtracking,20,3992510,5.602160453796387
Forward Checking,20,145,0.060776710510253906
Forward Checking,20,145,0.061016082763671875
Forward Checking,20,145,0.060929298400878906
Forward Checking,20,145,0.061113595962524414
Forward Checking,20,145,0.060643672943115234
Forward Checking,20,145,0.06083941459655762
Forward Checking,20,145,0.060887813568115234
Forward Checking,20,145,0.06084156036376953
Forward Checking,20,145,0.05967307090759277
Forward Checking,20,145,0.060263633728027344
Forward Checking,20,145,0.06014084815979004
Forward Checking,20,145,0.06110382080078125
Forward Checking,20,145,0.06009101867675781
Forward Checking,20,145,0.06015205383300781
Forward Checking,20,145,0.06044292449951172
Forward Checking,20,145,0.05962324142456055
Forward Checking,20,145,0.06388735771179199
Forward Checking,20,145,0.06008505821228027
Forward Checking,20,145,0.060057878494262695
Forward Checking,20,145,0.06008028984069824
Forward Checking,20,145,0.06101179122924805
Forward Checking,20,145,0.05984854698181152
Forward Checking,20,145,0.05519247055053711
Forward Checking,20,145,0.06003618240356445
Forward Checking,20,145,0.03441905975341797
Forward Checking,20,145,0.034758806228637695
Forward Checking,20,145,0.060614585876464844
Forward Checking,20,145,0.060567378997802734
Forward Checking,20,145,0.06000947952270508
Forward Checking,20,145,0.0588686466217041
